# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag	
msf	grondogue	en-AU	
grum	groret	en-AU	
u	grotadmorv	en-AU	
gro	groudon 	en-AU	
tep	gruikui	en-AU	
grd	guardevoir 	en-AU	
guz	guzzlord	en-AU	
gy	gyarados	en-AU	
sev	habunake	en-AU	
klv	hachecateur	en-AU	
stee	haganeil	en-AU	
dd	hakuryu	en-AU	
scv	halupenjo	en-AU	
har	hariteyama	en-AU	
lom	hasubrero	en-AU	
grot	hayashigame	en-AU	
hea	heatran	en-AU	
dnd	heerashai	en-AU	
iv	herbizarre 	en-AU	
fal	hexadron	en-AU	
cry	hexagel	en-AU	
ted	himeguma	en-AU	
cy	hinoarashi	en-AU	
hi	hipopotasu	en-AU	
ft	hirahina	en-AU	
hsa	hisuian arcanine	en-AU	
hav	hisuian avalugg	en-AU	
hb	hisuian braviary	en-AU	
hse	hisuian electrode 	en-AU	
hgg	hisuian goodra	en-AU	
hgw	hisuian growlithe	en-AU	
hsga	hisuian growlithe 	en-AU	
hl	hisuian lilligant 	en-AU	
hq	hisuian qwilfish	en-AU	
hsg	hisuian sliggoo 	en-AU	
hss	hisuian sneasel 	en-AU	
ht	hisuian typhlosion 	en-AU	
hv	hisuian voltorb 	en-AU	
hzz	hisuian zoroark	en-AU	
hz	hisuian zorua 	en-AU	
sta	hitodeman	en-AU	
char	hitokage	en-AU	
glu	hitokage 	en-AU	
lit	hitomoshi	en-AU	
wai	hoeruko 	en-AU	
ves	honweisel	en-AU	
hoo	hoopa	en-AU	
ho	hoothoot	en-AU	
hop	hoppspross	en-AU	
bee	hornliu	en-AU	
bd	hornliu	en-AU	
oh	houou	en-AU	
ski	hubelupf	en-AU	
ston	humanolith	en-AU	
hell	hundemon 	en-AU	
del	hunduster	en-AU	
amo	hutsassa	en-AU	
hdp	hydrapple	en-AU	
hy	hypnomade	en-AU	
goth	hypnomorba	en-AU	
ta	hypotrempe	en-AU	
uno	icognito	en-AU	
che	igamaro	en-AU	
qui	igastarnish	en-AU	
ord	impergator	en-AU	
dun	insolourdo	en-AU	
scra	irokex	en-AU	
web	itomaru	en-AU	
o	iwark	en-AU	
jib	jibacoil	en-AU	
zig	jiguzaguma	en-AU	
ji	jirachi	en-AU	
th	judokrak	en-AU	
ban	juppeta	en-AU	
dura	jurarudon	en-AU	
hip	kabarudon	en-AU	
kab	kabuto	en-AU	
kabu	kabutopusu	en-AU	
pyr	kaenjinshi	en-AU	
dre	kajirigame	en-AU	
ap	kajitchu	en-AU	
kec	kakureon	en-AU	
cw	kamukame	en-AU	
kang	kangourex	en-AU	
ca	kanivanha	en-AU	
top	kapoerer	en-AU	
lud	kappalores	en-AU	
dei	kapuno	en-AU	
ww	karadonis	en-AU	
sll	karanakushi 	en-AU	
sil	karasalis	en-AU	
carr	karippas	en-AU	
tot	karnimani	en-AU	
ko	karpador	en-AU	
kart	kartana	en-AU	
gri	kastadur	en-AU	
fin	keikouo	en-AU	
kd	keldeo	en-AU	
tau	kentauros	en-AU	
dot	keradar	en-AU	
bi	keunotor	en-AU	
sunf	kimawari	en-AU	
bag	kindwurm	en-AU	
kn	kinococo	en-AU	
bello	kireihana	en-AU	
gir	kirinriki	en-AU	
kir	kirlia	en-AU	
lie	kleoparda	en-AU	
nic	kleptifux	en-AU	
kk	kliklak	en-AU	
chin	klingplim	en-AU	
rol	klonkett 	en-AU	
cp	klopptopus	en-AU	
tra	knacklion	en-AU	
gg	knarksel	en-AU	
vr	knattox	en-AU	
sc	kofukimushi	en-AU	
pm	kofukimushi 	en-AU	
she	kokiyas	en-AU	
ora	kommandutan	en-AU	
ven	kongpang	en-AU	
nuz	konohana	en-AU	
kod	koraidon 	en-AU	
kri	korobohshi	en-AU	
be	kosturso	en-AU	
kin	krabboss	en-AU	
dg	kravarech	en-AU	
sww	krawalloro	en-AU	
ex	krawumms	en-AU	
hei	krebscorps 	en-AU	
slw	kriechflugel	en-AU	
saw	kronjuwild	en-AU	
spi	kryppuk		en-AU	
kub	kubfu		en-AU	
eis	kubuin		en-AU	
wat	kukmarda	en-AU	
mf	kungfouine	en-AU	
pine	kunugidama 	en-AU	
kr	kurabu		en-AU	
gl	kusaihana	en-AU	
ky	kyogre		en-AU	
swm	laggron		en-AU	
flaa	lainergie	en-AU	
jug	lamantine	en-AU	
shii	lampignon	en-AU	
land	landorus 	en-AU	
dpp	lanssorien	en-AU	
drag	lanssorien	en-AU	
lan	lantern		en-AU	
bun	laporeille	en-AU	
sew	larveyette	en-AU	
mab	larvibule	en-AU	
lat	latias		en-AU	
